FvH4_1g00010,.,.,FxaC_4g40110,.
FvH4_1g00020,.,.,FxaC_4g40100,FxaC_3g00530
FvH4_1g00030,FxaC_2g11810,.,FxaC_4g40090,FxaC_3g00540
FvH4_1g00040,FxaC_2g11910,.,FxaC_4g40080,FxaC_3g00550
FvH4_1g00050,FxaC_2g11800,.,FxaC_4g40070,FxaC_3g00560
FvH4_1g00060,FxaC_2g11840,.,FxaC_4g40060,FxaC_3g00570
FvH4_1g00070,FxaC_2g11820,.,FxaC_4g40050,FxaC_3g00580
FvH4_1g00080,FxaC_2g11630,.,FxaC_4g40040,FxaC_3g00480
FvH4_1g00090,FxaC_2g11660,.,.,FxaC_3g00520
FvH4_1g00100,FxaC_2g11661,.,FxaC_4g40012,FxaC_3g00521
FvH4_1g00110,FxaC_2g11670,.,FxaC_4g40010,.
FvH4_1g00120,.,.,FxaC_4g39980,FxaC_3g00750
FvH4_1g00130,FxaC_2g11680,.,FxaC_4g39970,FxaC_3g00730
FvH4_1g00150,FxaC_2g11700,.,FxaC_4g39950,FxaC_3g00720
FvH4_1g00160,FxaC_2g11710,.,FxaC_4g39940,FxaC_3g00710
FvH4_1g00161,FxaC_2g11730,.,FxaC_4g39910,FxaC_3g00690
FvH4_1g00180,FxaC_2g11730,.,FxaC_4g39910,FxaC_3g00690
FvH4_1g00190,FxaC_2g11730,.,FxaC_4g39910,FxaC_3g00680
FvH4_1g00191,FxaC_2g11510,.,FxaC_4g39891,FxaC_3g00662
FvH4_1g00200,FxaC_2g11520,.,FxaC_4g39890,.
FvH4_1g00201,FxaC_2g11530,.,FxaC_4g39880,FxaC_3g00660
FvH4_1g00210,FxaC_2g11531,.,FxaC_4g39861,FxaC_3g00630
FvH4_1g00220,FxaC_2g11550,.,.,.
FvH4_1g00230,FxaC_2g11541,.,FxaC_4g39860,FxaC_3g00610
FvH4_1g00240,FxaC_2g11560,.,FxaC_4g39870,FxaC_3g00590
FvH4_1g00250,FxaC_2g11570,.,FxaC_4g39840,FxaC_3g00780
FvH4_1g00260,FxaC_2g11580,.,FxaC_4g39830,FxaC_3g00790
FvH4_1g00270,FxaC_2g11590,.,FxaC_4g39830,FxaC_3g00800
FvH4_1g00280,.,.,FxaC_4g39760,.
FvH4_1g00290,FxaC_2g11600,.,FxaC_4g39750,FxaC_3g00790
FvH4_1g00300,FxaC_2g11610,.,FxaC_4g39740,.
FvH4_1g00330,FxaC_2g11620,.,FxaC_4g39720,.
FvH4_1g00340,FxaC_2g11620,.,FxaC_4g39710,.
FvH4_1g00341,FxaC_2g11620,.,FxaC_4g39692,.
FvH4_1g00342,FxaC_2g11620,.,FxaC_4g39691,.
FvH4_1g00343,FxaC_2g11620,.,FxaC_4g39690,.
FvH4_1g00344,FxaC_2g11620,.,FxaC_4g39690,.
FvH4_1g00345,FxaC_2g11480,.,FxaC_4g39700,.
FvH4_1g00346,FxaC_2g11480,.,FxaC_4g39700,.
FvH4_1g00350,FxaC_2g11460,.,FxaC_4g39680,.
FvH4_1g00360,FxaC_2g11440,.,FxaC_4g39670,FxaC_3g00831
FvH4_1g00370,FxaC_2g11430,.,FxaC_4g39660,FxaC_3g00830
FvH4_1g00380,FxaC_2g11420,.,FxaC_4g39650,FxaC_3g00832
FvH4_1g00390,FxaC_2g11401,.,FxaC_4g39640,FxaC_3g00841
